date,psr,m2,ccpi,dspic,ir,ffer,sp500_close,sp500_return,sp500_BBB_5_2.0,sp500_BBP_5_2.0,sp500_ema_7,sp500_ema_22,sp500_ema_50,sp500_ema_252
2015-10-31,7.5,12155.05,243.768,13419.8,2.07,0.123548387,,,,,,,,
2015-11-01,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,,,,,,,,
2015-11-02,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2104.05,0.011873845798707316,2.432825240573948,0.8594108112142338,2079.483992222298,2039.3879410742861,2020.2484843106217,2025.2537532824808
2015-11-03,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2109.79,0.002728072051519481,2.0872275535544227,0.8476299615893539,2087.0604941667234,2045.5098592417396,2023.7599162984407,2025.9220240075206
2015-11-04,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2102.31,-0.0035453765540646165,2.107351649865366,0.6205227503316928,2090.8728706250427,2050.449001916371,2026.8403117377177,2026.5258815252478
2015-11-05,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2099.93,-0.0011320880364932284,1.9793167721064262,0.5202659114574576,2093.137152968782,2054.751697401904,2029.706574022513,2027.1061512365106
2015-11-06,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2099.2,-0.00034763063530685034,0.7194060620178534,0.24513388730706256,2094.652864726587,2058.616767193043,2032.431806413787,2027.6760630844433
2015-11-07,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,,,,,,,,
2015-11-08,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,,,,,,,,
2015-11-09,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2078.58,-0.00982278963414629,1.9811788838356927,0.03368725968977682,2090.6346485449403,2060.3527004806047,2034.2415394955992,2028.0784657478073
2015-11-10,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2081.72,0.0015106466914911465,1.9235256045567573,0.23592964101051672,2088.4059864087053,2062.2107265257696,2036.1034399075365,2028.5025094968366
2015-11-11,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2075.0,-0.0032280998405164185,2.026184987795138,0.21890190199687687,2085.054489806529,2063.3228372626595,2037.6287952052803,2028.8700785917233
2015-11-12,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2045.97,-0.01399036144578314,3.3152275021687427,0.06232444705945192,2075.2833673548967,2061.8138948919936,2037.9559012756615,2029.0052558360576
2015-11-13,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2023.04,-0.011207397957936904,4.42698566021812,0.08543993507153322,2062.2225255161725,2058.442251857907,2037.3709639707336,2028.9580996634406
2015-11-14,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,,,,,,,,
2015-11-15,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,,,,,,,,
2015-11-16,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2053.19,0.014903313824738973,4.097268553075522,0.4692037341792021,2059.9643941371296,2057.985534305046,2037.9913183248225,2029.1496561878405
2015-11-17,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2050.44,-0.0013393792099123392,3.2392274360048603,0.5137372417225793,2057.583295602847,2057.329400887216,2038.4795019199275,2029.3179593009802
2015-11-18,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2083.58,0.016162384658902518,3.774547683258714,0.917641893724994,2064.082471702135,2059.612061679632,2040.2481489034599,2029.7469082393125
2015-11-19,7.3,12285.08,244.24099999999999,13417.7,2.263157895,0.11766666699999999,2081.24,-0.0011230670288638889,4.342410679064392,0.7566800583559015,2068.3718537766013,2061.4927519683597,2041.8556724758732,2030.1539682532311
